;ncm;descricao;alq_ipi;aliq_ipi
151;0207.5;- De gansos:;;
152;0207.51.00;--Não cortadas em pedaços, frescas ou refrigeradas;0.0;0.0
153;0207.52.00;--Não cortadas em pedaços, congeladas;0.0;0.0
154;0207.53.00;--Fígados gordos (foies gras), frescos ou refrigerados;0.0;0.0
155;0207.54.00;--Outras, frescas ou refrigeradas;0.0;0.0
156;0207.55.00;--Outras, congeladas;0.0;0.0
157;0207.60.00;- De galinhas-d'angola (pintadas);0.0;0.0
159;02.08;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.;;
160;0208.10.00;- De coelhos ou lebres;0.0;0.0
161;0208.30.00;- De primatas;0.0;0.0
162;0208.40.00;"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) edugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas(mamíferos da subordem Pinnipedia)";0.0;0.0
163;0208.50.00;- De répteis (incluindo as serpentes e as tartarugas marinhas);0.0;0.0
164;0208.60.00;- De camelos e outros camelídeos (Camelidae);0.0;0.0
165;0208.90.00;- Outras;0.0;0.0
167;02.09;"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nemextraídasdeoutromodo,frescos,refrigerados,congelados,salgadosouemsalmoura, secos ou defumados (fumados).";;
168;0209.10;- De porco;;
169;0209.10.1;Toucinho;;
170;0209.10.11;Fresco, refrigerado ou congelado;0.0;0.0
171;0209.10.19;Outros;0.0;0.0
172;0209.10.2;Gordura;;
173;0209.10.21;Fresca, refrigerada ou congelada;0.0;0.0
174;0209.10.29;Outras;0.0;0.0
175;0209.90.00;- Outros;0.0;0.0
177;02.10;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas(fumadas); farinhas e pós, comestíveis, de carnes ou de miudezas.";;
178;0210.1;- Carnes da espécie suína:;;
179;0210.11.00;--Pernas, pás e respectivos pedaços, não desossados;0.0;0.0
180;0210.12.00;--Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaços;0.0;0.0
181;0210.19.00;--Outras;0.0;0.0
182;0210.20.00;- Carnes da espécie bovina;0.0;0.0
183;0210.9;- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:;;
184;0210.91.00;--De primatas;0.0;0.0
186;0210.92.00;"--De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) edugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas(mamíferos da subordem Pinnipedia)";0;0.0
188;0210.93.00;--De répteis (incluindo as serpentes e as tartarugas marinhas);0;0.0
190;0210.99;Outras;;
191;0210.99.1;Carnes de aves da posição 01.05;;
192;0210.99.11;De galos e de galinhas;0;0.0
193;0210.99.19;Outras;0;0.0
194;0210.99.20;Carnes da espécie ovina;0;0.0
195;0210.99.30;Carnes da espécie cavalar;0;0.0
196;0210.99.40;Miudezas comestíveis;NT;NT
197;0210.99.90;Outras;0;0.0
199;03.01;Peixes vivos.;;
200;0301.1;- Peixes ornamentais:;;
201;0301.11;--De água doce;;
202;0301.11.10;Aruanã (Osteoglossum bicirrhosum);NT;NT
203;0301.11.90;Outros;NT;NT
204;0301.19.00;--Outros;NT;NT
205;0301.9;- Outros peixes vivos:;;
206;0301.91;"--Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)";;
207;0301.91.10;Para reprodução;NT;NT
208;0301.91.90;Outras;NT;NT
209;0301.92;--Enguias (Anguilla spp.);;
210;0301.92.10;Para reprodução;NT;NT
211;0301.92.90;Outras;NT;NT
212;0301.93;"--Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilushasselti, Leptobarbus hoeveni, Megalobrama spp.)";;
213;0301.93.10;Para reprodução;NT;NT
214;0301.93.90;Outras;NT;NT
215;0301.94;--Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);;
216;0301.94.10;Para reprodução;NT;NT
217;0301.94.90;Outras;NT;NT
218;0301.95;--Atum-azul do sul (Atum*) (Thunnus maccoyii);;
219;0301.95.10;Para reprodução;NT;NT
220;0301.95.90;Outros;NT;NT
221;0301.99;--Outros;;
222;0301.99.1;Para reprodução;;
223;0301.99.11;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seushíbridos)";NT;NT
224;0301.99.12;"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenserstellatus)";NT;NT
225;0301.99.19;Outros;NT;NT
226;0301.99.9;Outros;;
227;0301.99.91;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seushíbridos)";NT;NT
228;0301.99.92;"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenserstellatus)";NT;NT
229;0301.99.99;Outros;NT;NT
231;03.02;"Peixes frescos ou refrigerados, exceto os filés (filetes*) de peixes e outra carne depeixes da posição 03.04.";;
232;0302.1;"- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0302.91 a0302.99:";;
233;0302.11.00;"--Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)";0.0;0.0
234;0302.13.00;"--Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,OncorhynchusmasoueOncorhynchus rhodurus)";0.0;0.0
235;0302.14.00;--Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);0.0;0.0
236;0302.19.00;--Outros;0.0;0.0
237;0302.2;"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae eCitharidae),excetosubprodutoscomestíveisdepeixesdassubposições0302.91a0302.99:";;
238;0302.21.00;"--Linguados-gigantes(Alabotes*)(Reinhardtiushippoglossoides,Hippoglossushippoglossus, Hippoglossus stenolepis)";0.0;0.0
239;0302.22.00;--Solha (Pleuronectes platessa);0.0;0.0
240;0302.23.00;--Linguados (Solea spp.);0.0;0.0
241;0302.24.00;--Pregado (Psetta maxima);0.0;0.0
242;0302.29.00;--Outros;0.0;0.0
243;0302.3;"- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Euthynnus (Katsuwonus) pelamis),exceto subprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:";;
244;0302.31.00;--Albacora-branca (Atum*) (Thunnus alalunga);0.0;0.0
245;0302.32.00;--Albacora-laje (Atum*) (Thunnus albacares);0.0;0.0
246;0302.33.00;--Bonito-listrado (Gaiado*);0.0;0.0
247;0302.34.00;--Albacora-bandolim (Atum*) (Thunnus obesus);0.0;0.0
248;0302.35.00;--Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);0.0;0.0
249;0302.36.00;--Atum-azul do sul (Atum*) (Thunnus maccoyii);0.0;0.0
250;0302.39.00;--Outros;0.0;0.0
251;0302.4;"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.),sardinhas(Sardinapilchardus,Sardinopsspp.,Sardinellaspp.)(sardinha(Sardinapilchardus)esardinelas(Sardinopsspp.,Sardinellaspp.)*),anchoveta(espadilha*)(Sprattussprattus),cavalinhas(sardasecavalas*)(Scomberscombrus,Scomberaustralasicus,Scomberjaponicus),cavalas-do-índico(Rastrelligerspp.),serras(Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*)(Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabissaira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius),merma-oriental(Euthynnusaffinis),bonitos(Sardaspp.),espadins,marlins,veleiros(Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0302.91 a0302.99:";;
252;0302.41.00;--Arenques (Clupea harengus, Clupea pallasii);0.0;0.0
253;0302.42;--Anchovas (Biqueirões*) (Engraulis spp.);;
254;0302.42.10;Anchoita (Engraulis anchoita);0.0;0.0
255;0302.42.90;Outros;0.0;0.0
256;0302.43.00;"--Sardinhas(Sardinapilchardus,Sardinopsspp.,Sardinellaspp.)(Sardinha(Sardinapilchardus)esardinelas(Sardinopsspp.,Sardinellaspp.)*),anchoveta(espadilha*)(Sprattus sprattus)";0.0;0.0
257;0302.44.00;"--Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomberjaponicus)";0.0;0.0
258;0302.45.00;--Carapaus (Trachurus spp.);0.0;0.0
259;0302.46.00;--Bijupirá (Cobia*) (Rachycentron canadum);0.0;0.0
260;0302.47.00;--Espadarte (Xiphias gladius);0.0;0.0
261;0302.49;--Outros;;
262;0302.49.10;Espadins, marlins, veleiros (Istiophoridae);0.0;0.0
263;0302.49.90;Outros;0.0;0.0
264;0302.5;"- PeixesdasfamíliasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveisde peixes das subposições 0302.91 a 0302.99:";;
265;0302.51.00;"--Bacalhau-do-atlântico(Gadusmorhua),bacalhau-da-groelândia(Gadusogac)ebacalhau-do-pacífico (Gadus macrocephalus)";0.0;0.0
266;0302.52.00;--Haddock ou lubina (Arinca*) (Melanogrammus aeglefinus);0.0;0.0
267;0302.53.00;--Saithe (Escamudo*) (Pollachius virens);0.0;0.0
268;0302.54.00;--Merluzas (Pescadas*) e abróteas (Merluccius spp., Urophycis spp.);0.0;0.0
269;0302.55.00;--Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma);0.0;0.0
270;0302.56.00;--Verdinhos (Micromesistius poutassou, Micromesistius australis);0.0;0.0
271;0302.59.00;--Outros;0.0;0.0
272;0302.7;"- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), excetosubprodutos comestíveis de peixes das subposições 0302.91 a 0302.99:";;
273;0302.71.00;--Tilápias (Oreochromis spp.);0.0;0.0
274;0302.72;--Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
275;0302.72.10;Bagre americano (Ictalurus punctatus);0.0;0.0
276;0302.72.90;Outros;0.0;0.0
277;0302.73.00;"--Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilushasselti, Leptobarbus hoeveni, Megalobrama spp.)";0.0;0.0
278;0302.74.00;--Enguias (Anguilla spp.);0.0;0.0
279;0302.79.00;--Outros;0.0;0.0
280;0302.8;"- Outros peixes, exceto subprodutos comestíveis de peixes das subposições 0302.91 a0302.99:";;
281;0302.81.00;--Cação e outros tubarões;0.0;0.0
282;0302.82.00;--Raias (Rajidae);0.0;0.0
283;0302.83;--Merluza negra e merluza antártica (Marlongas*) (Dissostichus spp.);;
284;0302.83.10;Merluza negra (Dissostichus eleginoides);0.0;0.0
285;0302.83.20;Merluza antártica (Dissostichus mawsoni);0.0;0.0
286;0302.84.00;--Robalos (Dicentrarchus spp.);0.0;0.0
287;0302.85.00;--Esparídeos (Sparidae);0.0;0.0
288;0302.89;--Outros;;
289;0302.89.10;Pargo (Lutjanus purpureus);0.0;0.0
290;0302.89.2;"Cherne-poveiro(Polyprionamericanus),garoupas(Acanthistiusspp.),esturjão(Acipenser baerii) e peixes-rei (Atherina spp.)";;
291;0302.89.21;Cherne-poveiro (Polyprion americanus);0.0;0.0
292;0302.89.22;Garoupas (Acanthistius spp.);0.0;0.0
293;0302.89.23;Esturjão (Acipenser baerii);0.0;0.0
294;0302.89.24;Peixes-rei (Atherina spp.);0.0;0.0
295;0302.89.3;"Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.;seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf.lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) epescadas (Cynoscion spp.)";;
296;0302.89.31;Curimatãs (Prochilodus spp.);0.0;0.0
297;0302.89.32;"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";0.0;0.0
298;0302.89.33;Surubins (Pseudoplatystoma spp.);0.0;0.0
299;0302.89.34;Traíra (Hoplias malabaricus & H. cf. lacerdae);0.0;0.0
300;0302.89.35;Piaus (Leporinus spp.);0.0;0.0
301;0302.89.36;Tainhas (Mugil spp.);0.0;0.0
302;0302.89.37;Pirarucu (Arapaima gigas);0.0;0.0
303;0302.89.38;Pescadas (Cynoscion spp.);0.0;0.0
304;0302.89.4;"Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu(Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbridode tambaqui e pacu)";;
305;0302.89.41;Piramutaba (Brachyplatystoma vaillantii);0.0;0.0
306;0302.89.42;Dourada (Brachyplatystoma flavicans);0.0;0.0
307;0302.89.43;Pacu (Piaractus mesopotamicus);0.0;0.0
308;0302.89.44;Tambaqui (Colossoma macropomum);0.0;0.0
309;0302.89.45;Tambacu (híbrido de tambaqui e pacu);0.0;0.0
310;0302.89.90;Outros;0.0;0.0
311;0302.9;"- Fígados, ovas, gônadas masculinas, barbatanas, cabeças, caudas, bexigas-natatórias eoutros subprodutos comestíveis de peixes:";;
312;0302.91.00;--Fígados, ovas e gônadas masculinas;0.0;0.0
313;0302.92.00;--Barbatanas de tubarão;0.0;0.0
314;0302.99.00;--Outros;0.0;0.0
316;03.03;"Peixes congelados, exceto os filés (filetes*) de peixes e outra carne de peixes daposição 03.04.";;
317;0303.1;"- Salmonídeos, exceto subprodutos comestíveis de peixes das subposições 0303.91 a0303.99:";;
318;0303.11.00;--Salmão-do-pacífico (salmão-vermelho) (Oncorhynchus nerka);0.0;0.0
319;0303.12.00;"--Outrossalmões-do-pacífico(Oncorhynchusgorbuscha,Oncorhynchusketa,Oncorhynchustschawytscha,Oncorhynchuskisutch,OncorhynchusmasoueOncorhynchus rhodurus)";0.0;0.0
320;0303.13.00;--Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);0.0;0.0
321;0303.14.00;"--Trutas(Salmotrutta,Oncorhynchusmykiss,Oncorhynchusclarki,Oncorhynchusaguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)";0.0;0.0
322;0303.19.00;--Outros;0.0;0.0
323;0303.2;"- Tilápias (Oreochromis spp.), bagres (peixes-gato*) (Pangasius spp., Silurus spp., Clariasspp., Ictalurus spp.), carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus,Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeospp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), enguias (Anguillaspp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), excetosubprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:";;
324;0303.23.00;--Tilápias (Oreochromis spp.);0.0;0.0
325;0303.24;--Bagres (Peixes-gato*) (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);;
326;0303.24.10;Bagre americano (Ictalurus punctatus);0.0;0.0
327;0303.24.90;Outros;0.0;0.0
328;0303.25.00;"--Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthysspp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilushasselti, Leptobarbus hoeveni, Megalobrama spp.)";0.0;0.0
329;0303.26.00;--Enguias (Anguilla spp.);0.0;0.0
330;0303.29.00;--Outros;0.0;0.0
331;0303.3;"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae eCitharidae),excetosubprodutoscomestíveisdepeixesdassubposições0303.91a0303.99:";;
332;0303.31.00;"--Linguados-gigantes(Alabotes*)(Reinhardtiushippoglossoides,Hippoglossushippoglossus, Hippoglossus stenolepis)";0.0;0.0
333;0303.32.00;--Solha (Pleuronectes platessa);0.0;0.0
334;0303.33.00;--Linguados (Solea spp.);0.0;0.0
335;0303.34.00;--Pregado (Psetta maxima);0.0;0.0
336;0303.39.00;--Outros;0.0;0.0
337;0303.4;"- Atuns (do gênero Thunnus), bonito-listrado (gaiado*) (Euthynnus (Katsuwonus) pelamis),exceto subprodutos comestíveis de peixes das subposições 0303.91 a 0303.99:";;
338;0303.41.00;--Albacora-branca (Atum*) (Thunnus alalunga);0.0;0.0
339;0303.42.00;--Albacora-laje (Atum*) (Thunnus albacares);0.0;0.0
340;0303.43.00;--Bonito-listrado (Gaiado*);0.0;0.0
341;0303.44.00;--Albacora-bandolim (Atum*) (Thunnus obesus);0.0;0.0
342;0303.45.00;--Atuns-azuis (Atuns*) (Thunnus thynnus, Thunnus orientalis);0.0;0.0
343;0303.46.00;--Atum-azul do sul (Atum*) (Thunnus maccoyii);0.0;0.0
344;0303.49.00;--Outros;0.0;0.0
345;0303.5;"- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueirões*) (Engraulis spp.),sardinhas(Sardinapilchardus,Sardinopsspp.,Sardinellaspp.)(sardinha(Sardinapilchardus)esardinelas(Sardinopsspp.,Sardinellaspp.)*),anchoveta(espadilha*)(Sprattussprattus),cavalinhas(sardasecavalas*)(Scomberscombrus,Scomberaustralasicus,Scomberjaponicus),cavalas-do-índico(Rastrelligerspp.),serras(Scomberomorus spp.), carapaus (Trachurus spp.), xaréus (Caranx spp.), bijupirá (cobia*)(Rachycentron canadum), pampos-prateado (Pampus spp.), agulhão-do-japão (Cololabissaira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius),merma-oriental(Euthynnusaffinis),bonitos(Sardaspp.),espadins,marlins,veleiros(Istiophoridae), exceto subprodutos comestíveis de peixes das subposições 0303.91 a0303.99:";;
346;0303.51.00;--Arenques (Clupea harengus, Clupea pallasii);0.0;0.0
347;0303.53.00;"--Sardinhas(Sardinapilchardus,Sardinopsspp.,Sardinellaspp.)(Sardinha(Sardinapilchardus)esardinelas(Sardinopsspp.,Sardinellaspp.)*),anchoveta(espadilha*)(Sprattus sprattus)";0.0;0.0
348;0303.54.00;"--Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomberjaponicus)";0.0;0.0
349;0303.55.00;--Carapaus (Trachurus spp.);0.0;0.0
350;0303.56.00;--Bijupirá (Cobia*) (Rachycentron canadum);0.0;0.0
351;0303.57.00;--Espadarte (Xiphias gladius);0.0;0.0
352;0303.59;--Outros;;
353;0303.59.10;Espadins, marlins, veleiros (Istiophoridae);0.0;0.0
354;0303.59.20;Anchoita (Engraulis anchoita);0.0;0.0
355;0303.59.90;Outros;0.0;0.0
356;0303.6;"- PeixesdasfamíliasBregmacerotidae,Euclichthyidae,Gadidae,Macrouridae,Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comestíveisde peixes das subposições 0303.91 a 0303.99:";;
357;0303.63.00;"--Bacalhau-do-atlântico(Gadusmorhua),bacalhau-da-groelândia(Gadusogac)ebacalhau-do-pacífico (Gadus macrocephalus)";0.0;0.0
358;0303.64.00;--Haddock ou lubina (Arinca*) (Melanogrammus aeglefinus);0.0;0.0
359;0303.65.00;--Saithe (Escamudo*) (Pollachius virens);0.0;0.0
